№,Вопрос,A,B,C,D,Правильный
53,Кто дал название Тихому океану?,Фернан Магеллан,Америго Веспуччи,Васко да Гама,Христофор Колумб,A
54,Как называется крупнейшая технологическая компания Южной Кореи?,Samsung,Hyundai,LG Electronics,Korea Electric Power Corporation,A
55,Какое животное можно увидеть на логотипе Porsche?,Бык,Тигр,Лань,Лошадь,D
56,"Кто был первой женщиной, получившей Нобелевскую премию (в 1903 году)?",Мария Кюри,Фрэнсис Арнольд,Розалинд Франклин,Дороти Ходжкин,A
57,Каким был первый безалкогольный напиток в космосе?,Яблочный сок,Кока-кола,Кофе,Чай,B
58,Какой напиток потребляют больше всего в мире?,Чай,Водка,Кофе,Вино,A
59,В какой стране изобрели мороженое?,Индия,Канада,Китай,Япония,C
60,В какой стране появился сыр Гауда?,Австрия,Швейцария,Бельгия,Нидерланды,D
61,Кто придумал Шерлока Холмса?,Агата Кристи,Артур Конан Дойл,Эдгар Аллан По,Стиг Ларссон,B
62,Какие две страны не пропустили ни одной современной Олимпиады?,Греция и Австралия,Греция и Германия,Греция и Италия,Греция и Испания,A
63,Какая страна выиграла первый в истории чемпионат мира по футболу в 1930 году?,Уругвай,Бразилия,Англия,Аргентина,A
64,Сколько цветов в радуге?,5,6,7,8,C
65,Какой континент на Земле самый большой?,Антарктида,Евразия,Северная Америка,Южная Америка,B
66,"Какая страна имеет выход в Индийский океан, Аравийское море и Бенгальский залив?",Пакистан,Индонезия,Китай,Индия,D
67,В какой современной арабской стране находится древний финикийский город Константина?,Египет,Алжир,ОАЭ,Марокко,B
68,Какая страна граничит с 14 странами и пересекает 8 часовых поясов?,Индия,ЮАР,Китай,Россия,D
69,Гавана — столица какой страны?,Куба,Венесуэла,Перу,Эквадор,A
70,В какой стране самое большое количество озер?,Россия,США,Канада,Китай,C
71,Какое самое громкое животное на Земле?,Бегемот,Кашалот,Цикада,Синий кит,D
72,Единорог — национальное животное какой страны?,Исландия,Шотландия,Ирландия,Швеция,B
73,Как долго длится беременность у слонов?,11 месяцев,16 месяцев,22 месяца,28 месяцев,C
74,Название какого африканского животного означает «речная лошадь»?,Крокодил,Слон,Бегемот,Газель,C
75,Какая планета ближайшая к Солнцу?,Меркурий,Уран,Марс,Венера,A
76,Что из этого не считается планетой?,Юпитер,Венера,Плутон,Сатурн,C
77,"В Исландии есть дороги, которые огибают определенные места. Кого они не хотят беспокоить?",Эльфов,Гномов,Хоббитов,Единорогов,A
78,Как называется единица измерения скорости и направления движения компьютерной мыши?,Мисти,Микси,Мигги,Микки,D
79,Hg — химический символ какого элемента?,Водород,Ртуть,Фосфор,Галлий,B
80,В какой стране производится больше всего кофе в мире?,Эфиопия,Колумбия,Куба,Бразилия,D
81,Как чаще всего называют картину «Джоконда»?,Девушка с персиками,Мадонна,Мона Лиза,Девушка с жемчужной серёжкой,C
82,Какого цвета нет на норвежском флаге?,Черного,Красного,Белого,Синего,A
83,Какой водопад самый высокий в мире?,"Тугела, ЮАР","Три Сестры, Перу","Анхель, Венесуэла","Юмбилья, Перу",C
84,Людвиг Ван Бетховен родился в 1770 году в каком городе?,Вена,Берн,Гамбург,Бонн,D
85,Сколько пар крыльев у пчелы?,1,2,3,4,B
86,Какой ученый был удостоен Нобелевской премии по физике 1921 года?,Зигмунд Фрейд,Альберт Эйнштейн,Иван Павлов,Энрико Ферми,B
87,Цюрих — самый большой город в какой стране?,Австрия,Германия,Дания,Швейцария,D
88,Арахнофобия – это страх чего?,Жуков,Червяков,Тараканов,Пауков,D
89,Назовите самый большой остров в мире.,Мадагаскар,Борнео,Гренландия,Новая Гвинея,C
90,Что означает термин «пиано»?,Играть тихо,Играть очень тихо,Играть средне тихо,Пауза в игре,A
91,"Как называется тонкая, но длинная страна, занимающая более половины западного побережья Южной Америки?",Мексика,Аргентина,Перу,Чили,D
92,Какой орган вашего тела самый большой?,Кожа,Мозг,Легкие,Печень,A
93,В какой стране образовалась легендарная рок-группа AC / DC?,США,Великобритания,Канада,Австралия,D
94,У какого млекопитающего нет голосовых связок?,Бегемот,Жираф,Пантера,Крот,B
95,В каком году вышел фильм «Титаник»?,1997,1998,1999,2000,A
96,"Какая компания владеет Bugatti, Bentley, Lamborghini, Audi и Porsche?",BMW,Mercedes,FIAT,Volkswagen,D
97,На каком инструменте Джон Леннон играл в «Битлз»?,Клавиши,Барабаны,Басс-гитара,Гитара,D
98,Кто сыграл Нео в «Матрице»?,Бред Питт,Том Круз,Киану Ривз,Мэттью Макконахи,C
99,Какая африканская страна раньше называлась Абиссинией?,ЮАР,Того,Зимбабве,Эфиопия,D
100,Какую певицу на самом деле зовут Стефани Джоанн Анджелина Джерманотта?,Мадонна,Шер,Леди Гага,Сандра,C
